field_id,finetuned_cluster
SB_FR_0453,2
SB_FR_0454,1
SB_FR_0455,1
SB_FR_0456,3
SB_FR_0458,3
SB_FR_0459,3
SB_FR_0460,3
SB_FR_0461,1
SB_FR_0462,2
SB_FR_0463,0
SB_FR_0464,0
SB_FR_0465,1
SB_FR_0466,1
SB_FR_0467,3
SB_FR_0468,0
SB_FR_0469,1
SB_FR_0470,1
SB_FR_0471,0
SB_FR_0472,1
SB_FR_0473,1
SB_FR_0474,2
SB_FR_0475,1
SB_FR_0476,1
SB_FR_0477,1
SB_FR_0478,3
SB_FR_0479,1
SB_FR_0480,2
SB_FR_0481,1
SB_FR_0482,3
SB_FR_0483,0
SB_FR_0484,1
SB_FR_0485,0
SB_FR_0486,3
SB_FR_0487,0
SB_FR_0488,3
SB_FR_0489,3
SB_FR_0490,3
SB_FR_0491,3
SB_FR_0492,3
SB_FR_0493,1
SB_FR_0494,3
SB_FR_0495,3
SB_FR_0496,3
SB_FR_0497,1
SB_FR_0498,1
SB_FR_0499,1
SB_FR_0500,3
SB_FR_0501,0
SB_FR_0502,3
SB_FR_0503,0
SB_FR_0504,3
SB_FR_0505,3
SB_FR_0506,3
SB_FR_0507,1
SB_FR_0508,3
SB_FR_0509,4
SB_FR_0510,1
SB_FR_0511,0
SB_FR_0512,4
SB_FR_0513,0
SB_FR_0514,3
SB_FR_0515,1
SB_FR_0516,1
SB_FR_0517,2
SB_FR_0518,2
SB_FR_0519,3
SB_FR_0520,1
SB_FR_0521,3
SB_FR_0522,3
SB_FR_0523,1
SB_FR_0524,1
SB_FR_0525,2
SB_FR_0526,1
SB_FR_0527,3
SB_FR_0528,1
SB_FR_0529,1
SB_FR_0530,1
SB_FR_0531,0
SB_FR_0532,2
SB_FR_0533,4
SB_FR_0534,1
SB_FR_0535,1
SB_FR_0536,3
SB_FR_0537,2
SB_FR_0538,2
SB_FR_0539,3
SB_FR_0540,1
SB_FR_0541,2
SB_FR_0542,3
SB_FR_0543,1
SB_FR_0544,1
SB_FR_0545,1
SB_FR_0546,1
SB_FR_0547,2
SB_FR_0548,3
SB_FR_0549,1
SB_FR_0550,1
SB_FR_0551,3
SB_FR_0552,1
SB_FR_0553,1
SB_FR_0554,3
SB_FR_0555,1
SB_FR_0556,1
SB_FR_0557,3
SB_FR_0558,2
SB_FR_0559,1
SB_FR_0560,3
SB_FR_0561,1
SB_FR_0562,2
SB_FR_0563,3
SB_FR_0564,1
SB_FR_0565,2
SB_FR_0566,2
SB_FR_0567,3
SB_FR_0568,2
SB_FR_0569,1
SB_FR_0570,2
SB_FR_0571,2
SB_FR_0572,3
SB_FR_0573,1
SB_FR_0575,1
SB_FR_0576,1
SB_FR_0578,0
SB_FR_0580,3
SB_FR_0581,2
SB_FR_0583,2
SB_FR_0584,1
SB_FR_0585,3
SB_FR_0587,2
SB_FR_0589,3
SB_FR_0590,1
SB_FR_0591,3
SB_FR_0592,1
SB_FR_0593,1
SB_FR_0594,2
SB_FR_0595,1
SB_FR_0596,3
SB_FR_0597,1
SB_FR_0598,2
SB_FR_0599,2
SB_FR_0600,2
SB_FR_0602,1
SB_FR_0603,3
SB_FR_0604,1
SB_FR_0605,2
SB_FR_0607,3
SB_FR_0608,3
SB_FR_0609,2
SB_FR_0610,2
SB_FR_0611,3
SB_FR_0612,0
SB_FR_0613,2
SB_FR_0614,1
SB_FR_0615,3
SB_FR_0616,1
SB_FR_0617,1
SB_FR_0618,2
SB_FR_0619,1
SB_FR_0620,3
SB_FR_0621,2
SB_FR_0622,3
SB_FR_0623,2
SB_FR_0624,2
SB_FR_0625,3
SB_FR_0626,0
SB_FR_0627,1
SB_FR_0628,2
SB_FR_0629,3
SB_FR_0630,2
SB_FR_0631,1
SB_FR_0632,3
SB_FR_0633,2
SB_FR_0634,1
SB_FR_0635,3
SB_FR_0636,1
SB_FR_0637,1
SB_FR_0638,1
SB_FR_0639,0
SB_FR_0640,2
SB_FR_0641,1
SB_FR_0642,2
SB_FR_0643,3
SB_FR_0644,1
SB_FR_0645,3
SB_FR_0646,1
SB_FR_0647,2
SB_FR_0648,1
SB_FR_0649,1
SB_FR_0650,3
SB_FR_0651,1
SB_FR_0652,0
SB_FR_0653,0
SB_FR_0654,1
SB_FR_0655,1
SB_FR_0656,1
SB_FR_0657,0
SB_FR_0658,3
SB_FR_0659,0
SB_FR_0660,1
SB_FR_0661,3
SB_FR_0662,3
SB_FR_0663,1
SB_FR_0664,2
SB_FR_0665,2
SB_FR_0666,1
SB_FR_0667,2
SB_FR_0668,2
SB_FR_0669,1
SB_FR_0670,1
SB_FR_0671,3
SB_FR_0672,2
SB_FR_0673,2
SB_FR_0674,2
SB_FR_0675,1
SB_FR_0676,2
SB_FR_0677,3
SB_FR_0678,1
SB_FR_0679,2
SB_FR_0680,3
SB_FR_0681,1
SB_FR_0682,3
SB_FR_0683,2
SB_FR_0684,1
SB_FR_0685,1
